RESP-ID,AT-USE-GENERAL,BRO-V-BRUH,GENDER,GENDER_ACQUAINT_TEXT,SEXUALITY,SEXRECODE,AGE,LANGUAGE,RACE,OCCUPATION
R_33kiGGca4LUT1CY,bro,Bruh is when you’re upset,Masculine,,Straight,Het,18-25,"Yes, English is a first language for me",White ,"Student, Biochemistry "
R_3PzQdcTJzYbZXKv,bro,,Feminine,,straight,Het,18-25,"Yes, English is a first language for me",white,student-communication sciences & disorders 
R_1LGoOEmO4vEWEFM,"bro,bruh,dude",My yellow fellow told me that “bruh” is like being able to say the n word without actually saying the n word so that’s why I say it,Masculine,,Talia,Other,18-25,"Yes, English is a first language for me",🇺🇸🏴󠁧󠁢󠁥󠁮󠁧󠁿🇪🇨,Engineer
R_10pBzbfQuNcvT4m,"bro,dude,man",I don’t use bruh…,Masculine,,,NA,56-70,"Yes, English is a first language for me",White,Real estate 
R_XjNCWoHHPn6Vgu5,"bro,bruh,dude",,Feminine,,pansexual,Pan,18-25,"Yes, English is a first language for me",White,high school student 
R_1gFnojyf6wsLeNv,"bro,bruh,dude",Bro is used when referring to a person while bruh is more or less an emotion ,Feminine,,Straight ,Het,18-25,"Yes, English is a first language for me",Asian,Student 
R_1rpOK7Kq0W3PGPI,"bro,bruh,dude",Bro is more manly to me. Bruh is a term that girls tend to use more I think. ,Feminine,,Straight ,Het,18-25,"Yes, English is a first language for me",White,Accounting major
R_27990m3pU4KhkgU,"bro,bruh,dude","Bro is like dude, bruh is like “seriously dude?”",Masculine,,Straight ,Het,18-25,"Yes, English is a first language for me",White ,"Student, economics "
R_3MfmOPcGaPLV1zP,"bro,bruh,dude",,Feminine,,Straight,Het,18-25,"Yes, English is a first language for me",White,
R_1pRksLPihqfNrsj,"bro,bruh,dude,girl","bruh is usually used for irritation, bro is more friendly ",Feminine,,pansexual,Pan,18-25,"Yes, English is a first language for me",white,associate 
R_3EHgfeUNlq26yts,"bro,bruh,dude,girl",Bruh is like disappointment like “damn.” Bro is endearing.,Feminine,,bi,Bi,18-25,"Yes, English is a first language for me",white,Daycare and student with undecided major
R_1M6DuoaPkcyZtNt,"bro,bruh,dude,girl",,Feminine,,straight,Het,18-25,"Yes, English is a first language for me",Asian,Health Informatics 
R_wX0WOOroOMfS4nv,"bro,bruh,dude,girl","Bro is like brother. Used ""formally""
Bruh is like a close friend. ""Used informally""",Feminine,,Straight ,Het,26-40,"Yes, English is a first language for me",Black ,Teacher
R_1jddHSUeAzJfVdN,"bro,bruh,dude,girl,man","Bruh is said with more exasperation (""bruh what did you do that for"") while bro is used more neutral",Non-binary,,Queer,Queer,18-25,"Yes, English is a first language for me",Asian,Student
R_1mK7r1j0w63IsC3,"bro,bruh,dude,girl,man",Buh is more flustered bro is more straight forward ,Feminine,,Bu,Bi,18-25,"Yes, English is a first language for me","White, Asian ","Student, computer engineering "
R_2tnHXpwrWJx0AoO,"bro,bruh,dude,girl,man","Bro is more casual, and bruh is more of an exasperated term ",Feminine,,queer,Queer,18-25,"Yes, English is a first language for me",mixed ,"student, psychology "
